transactionId,accountId,symbol,side,quantity,price,tradeTs
TX-0-0-aaaaaaaa,ACC-100,VND,BUY,100.0000,25500.0000,2026-05-01T09:15:00
TX-0-1-bbbbbbbb,ACC-101,FPT,SELL,50.0000,140000.0000,2026-05-01T09:15:05
TX-0-2-cccccccc,ACC-102,VNM,BUY,200.0000,77800.0000,2026-05-01T09:15:10
TX-0-3-dddddddd,ACC-103,HPG,SELL,1000.0000,28950.0000,2026-05-01T09:15:15
TX-0-4-eeeeeeee,ACC-104,VIC,BUY,300.0000,42100.0000,2026-05-01T09:15:20
TX-0-5-ffffffff,ACC-105,VHM,SELL,150.0000,55300.0000,2026-05-01T09:15:25
TX-0-6-gggggggg,ACC-106,MSN,BUY,400.0000,68800.0000,2026-05-01T09:15:30
TX-0-7-hhhhhhhh,ACC-107,MWG,SELL,75.0000,53100.0000,2026-05-01T09:15:35
TX-0-8-iiiiiiii,ACC-108,CTG,BUY,500.0000,30500.0000,2026-05-01T09:15:40
TX-0-9-jjjjjjjj,ACC-109,BID,SELL,250.0000,46900.0000,2026-05-01T09:15:45
